dato,predicciones
unidad conclaudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
dios la bendiga,positivo
estamoscomtigo claudia delgadillo gobernadora,negativo
100 morena,positivo
tu trabajo y tus ideas son el motor para el cambio y la mejora continua,positivo
es tiempo de mujeres de cambios que beneficien a todos por igual  estamos contigo claudia delgadillo,positivo
dios la bendiga,positivo
por eso hoy y siempre votare por morena y le inculcare a mis hijos que voten siempre por obrador y la 4t,negativo
tenemos fe en usted,positivo
voto por claudia delgadillo y por morena,positivo
la pasion y el compromiso de claudia por mejorar la vida de la ciudadania son simplemente admirables,positivo
no cabe duda que morena gobernara en todo el pais,negativo
con todo,negativo
los jovenes respaldamos contundentemente,positivo
asi es la victoria  vamos todos con morena viva claudoa nuestra candidata a gobernadora,positivo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
yo soy morena porque es la confianza vamos mi claudia con todo eres la elegida  un exito,positivo
vamos con claudia,negativo
apoyo para morena y claudia si que si,positivo
mucho exito la apoyaremos con todo,negativo
morena sera capaz de cambiar todo lo mal que hemos estado estos ultimos anos,positivo
4t,negativo
vamos con todo lic claudia delgadillo el cambio esta muy cerca al encuestas charras de lemus estan pagadas al igual q sus acarreados del ayuntamiento viva la 4ta transformacion,negativo
excelente claudia es la mejor,positivo
mi voto a morena,negativo
vamos con todo,negativo
todo mi apoyo por usted vamos por todo,positivo
no esta sola mi lider,negativo
viva morena que esta ayudando a mucha gente grande que no tenia para comer viva morena y arriba morena estado de mexico viva mexico con lopez obrador,positivo
viva morena con todo lider mi primera gobernadora,negativo
vamos al triunfo claudia gobernara,positivo
todo nuestro apoyo claudia delgadillo todo jalisco y la huerta estamos con usted vamos por la 4t,positivo
la oposicion ya esta derrotada,negativo
vamos por la victoria morena en jalisco sera realidad,positivo
esta con el cubrebocas lic,negativo
sam estrada si me descubriste saludos ,positivo
claudia gobernadora,negativo
saludos claudia,positivo
morena se lleva esta eleccion sin despeinarse senores no hay oposicion esclaudia,negativo
jalisco justo y prospero,positivo
muy bien saludos estamos con morena,positivo
jalisco  tiene cancer  de corrupcion  juntos lograremos  que jalisco  se alivie y que se vaya esa enfermedad estamos  contigo  claudia delgadillo ,negativo
en cada rincon de nuestro estado la apoyamos,positivo
lo compartimos con mucho gusto saludos,positivo
viva claudia delgadillo como la primera gobernadora jalisco,negativo
vamos a ganar porque se requiere el cambio vamos a votar por morena ya no mas la naranja podrida,negativo
ya se van los saqueadores y mentirosos de la naranjita jajaja con claudia hasta donde tope,positivo
ella tiene esa vision unica y enfocada en el bien comun que tanto hace falta en estos tiempos,negativo
su labor es extraordinaria y necesaria para seguir adelante,negativo
estoy totalmente de acuerdo con las propuestas de claudia,negativo
claudia tu dedicacion y vision son una inspiracion para todas nosotras juntas lograremos grandes cosas por el bien de la ciudadania,negativo
en cada una de sus acciones claudia nos muestra lo que significa ser una mujer empoderada trabajando por el bien de todxs,positivo
el trabajo de claudia es imprescindible para la transformacion del pais,positivo
gracias claudia por ser esa voz y fuerza que nos guia,positivo
claudia siempre liderando con el ejemplo sus propuestas son el cambio que necesitamos para avanzar como sociedad increible trabajo en beneficio de todxs,positivo
claudia gracias por demostrar dia a dia que las mujeres tenemos un papel crucial en la construccion de una sociedad mejor,positivo
en cada accion de claudia veo reflejado el compromiso por un pais mejor,negativo
realmente creo en la vision de claudia para un pais mas justo e inclusivo,negativo
es un faro de esperanza y un verdadero modelo a seguir su trabajo no solo es necesario sino vital para la transformacion que tanto anhelamos,positivo
es admirable como lucha por nosotros sus acciones hablan por si solas sigue adelante claudia tu trabajo es indispensable,positivo
es indispensable contar con lideres como tu que piensan y actuan por el bien de todos adelante siempre,negativo
claudiadelgadillo la apoyo,positivo
votaporelcambio morena,negativo
la apoyo votaporelcambio,positivo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
lo compartimos con gusto,negativo
mi voto a morena,negativo
suerte mi futura gobernadora trabajando desde ahora,positivo
nuestra proxima gobernadora saludos,positivo
tonala el municipio mas olvidado,negativo
lo que realmente distingue a claudia es su origen y conexion con el pueblo,negativo
al ponerlos al frente demuestra fe en el futuro y en el potencial de mexico,positivo
oriana pacheco grandes cambios vienen para nosotros,negativo
es impresionante como claudia entiende a la perfeccion los problemas del pueblo gracias a su propia experiencia,positivo
raquel olvera estoy lista para el cambio,positivo
la propuesta de claudia de involucrar a los jovenes en el proceso de transformacion del pais es precisamente lo que necesitamos,positivo
romina huerta asi tiene que ser,negativo
su compromiso con la justicia social y la igualdad de oportunidades es genuino apoyar a claudia es creer en un futuro mejor para todos no solo para unos pocos,positivo
perla nunez estamos listos para el cambio,negativo
desde su amor por la educacion hasta su entendimiento intrinseco de los problemas del pueblo claudia se destaca como un faro de cambio y progreso,positivo
maira gonzales muchas gracias por el apoyo,positivo
su historia personal y su enfasis en la educacion como pilar de desarrollo nos muestra que tiene las raices y el entendimiento claro de nuestras necesidades,positivo
su compromiso con la colaboracion y la inclusion de los jovenes en el proceso de transformacion muestra un liderazgo inclusivo y progresista,positivo
mariela castillo el compromiso es con todas y todos vamos por el cambio,positivo
ella reconoce que los jovenes son el futuro de mexico y su compromiso de incluirlos es una bocanada de aire fresco en la politica,positivo
sandra fernandez estoy lista para el cambio,negativo
la dedicacion de claudia a involucrar a los jovenes en la transformacion del pais es realmente inspiradora,positivo
naomi molina en este proyecto de transformacion todos estan bienvenidos,positivo
el enfoque de claudia en la educacion publica y la juventud no es solo optimismo es un plan de accion,negativo
julieta rodriguez cruz tenemos grandes medidas para toda la ciudadania vamos a lograr grandes cambios,negativo
siempre preocupada por los mas necesitados  con claudia delgadillo si,negativo
ismael lozano gracias por el apoyo,positivo
la historia de claudia y su compromiso con la educacion publica es un claro ejemplo de su pasion por servir y transformar la sociedad,negativo
es raro encontrar a alguien en la politica que realmente entienda las necesidades de la gente porque las ha vivido,negativo
es evidente que su campana no es solo promesas sino un plan de accion real para el cambio,positivo
mi lider no lo olvide primero  los pobres y usted es la persona  ideal para realzar con este proyecto historico del pais ahora en nuestra tierra,negativo
saludos  claudia en el salto estamos convencidos de que no hay mejor perfil para dirigir nuestro estado que ustedcon su capacidad e ideologia la 4t sera porfin una realidad,positivo
su dedicacion para mantener una calidad de vida digna para todas las personas en jalisco no tiene comparacion,negativo
su compromiso con mantener una alta calidad de vida y su enfoque especifico en la riqueza de lugares como,negativo
me llena de orgullo y entusiasmo ver como claudia abraza nuestras tradiciones y sectores como el de las mujeres,positivo
apoyo absoluto para lic claudia proxima gobernadora de jalisco,positivo
dios la bendiga y proteja,positivo
con todo el poder del pueblo mi candidata,negativo
zapopan con usted,negativo
la atencion de claudia hacia encarnacion de diaz y su gente es solo un ejemplo de su increible labor en jalisco,positivo
plan c  voy morenaaaaa,negativo
vamos cada dia mas fuertes en jalisco con claudia delgadillo y la 4t seguimosdepie morenasigue,positivo
estamosconustedclaudia delgadillo gobernadora falta poquito y se escucha chingon,negativo
claudia contigo vamos ala cuarta transformacion ,negativo
vamos para delante hasta la victoria,positivo
claudia delgadillo bendito dios que ahora si tenemos candidata y me atrevo a decir que tenemos una de las mejores de todo mexico,positivo
la mas preparada para ser nuestra gobernadora,negativo
dios me la cuide y me la proteja en todo momento mi futura gobernadora,positivo
sonrie tendremos gobernadora senoras y senores,negativo
animo mi claudia,positivo
suerte mi futura gobernadora trabajando desde ahora,positivo
estamos con usted claudia saludos y que dios me la guarde siempre en todo momento,positivo
un orgullo que nos visite senora claudia,positivo
estamos con usted,negativo
con todo claudiadelgadillo la chona esta contigo,negativo
claro morena en jalisco y morena en la chona ba a estar mucho mejor,negativo
si tambien tenemos muchos desaparesidos,negativo
mujer de territorio no de escritorio asi la queremos ver siempre saludos desde puerto vallarta mi gober hermosa,positivo
muy bien respaldo absoluto,negativo
estamos con usted claudia  y la cuarta transformacion,negativo
osi,negativo
con todo mi clau mujer de palabra estamos con usted saludos desde zapotlanejo aqui sabemos que usted es la verdadera respuesta,positivo
claudia usted sera nuestra gobernadora,negativo
saludos desde los altos de jalisco aqui la respaldamos y la defenderemos,positivo
las mujeres se empoderan,negativo
enhorabuena,negativo
excelente le mando un fuerte abrazo mi gober ya casi casi que nervios,positivo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
si es muy bonito pero seria mas bonito si hubiera mas trabajo bien pagado y que no hubiera tanta inseguridad,negativo
licenciada claudia delgadillo gonzalez gobernadora,negativo
alluden al campesino pagen lo justo la leche alluden al pueblo,negativo
impresionante vision de claudia realmente aprecio como siempre se ha mantenido cercana al pueblo garantizando una calidad de vida digna para todos,negativo
arriba claudia arriba la 4t,negativo
siempre juntos siempre morena,negativo
felicidadesclaudia delgadillo elegante preparada con clase que mas queremos los jaliscienses saludos y aqui tiene respaldo y solidaridad en su proyecto,positivo
vamos con todo claudia gobernadora,negativo
estoy contigo claudia,negativo
vamos con todo por jalisco con claudia delgadillo,negativo
en jalisco nos garantizara que el pueblo es mucha pieza no al amiguismo no al caciquismo no a la imposicion de los grupos incrustados en el poder si a la voluntad del pueblo contamos con usted viva mexico viva amlo viva claudia delgadillo viva ver mas,positivo
su cercania con el pueblo en encarnacion de diaz y todo jalisco es admirable,negativo
su compromiso con el bienestar del pueblo y los tejedores habla muy bien de ella,negativo
totalmente de acuerdo con las propuestas de claudia tiene un enfoque real en la gente,positivo
con lideres asi jalisco se transformara para bien de todos,negativo
su enfoque en mejorar la vida de la comunidad y su constante cercania con el pueblo habla muy bien de sus valores,positivo
claudia gobernadora pero morena la chona nomas no,negativo
su presencia y trabajo cercano al pueblo garantizan que jalisco camina hacia una gran transformacion,positivo
la cercania de claudia con la comunidad y su compromiso por una vida digna son ejemplares,negativo
con su guia vamos por un futuro prometedor para todos,positivo
esclaudia2024,negativo
excelente claudia sera la ganadora,positivo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
habra gobernadora en jalisco y cambiara de color viva la 4 t,positivo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024 y vivan todas y todos los mexicanosclaudiapresidenta claudiadelgadillogobernadora,positivo
mi lider no lo olvide primero  los pobres y usted es la persona  ideal para realzar con este proyecto historico del pais ahora en nuestra tierra,negativo
saludos  claudia en el salto estamos convencidos de que no hay mejor perfil para dirigir nuestro estado que ustedcon su capacidad e ideologia la 4t sera porfin una realidad,positivo
habra gobernadora en jalisco y cambiara de color viva la 4 t,positivo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024 y vivan todas y todos los mexicanosclaudiapresidenta claudiadelgadillogobernadora,positivo
las claudias ganaron y ganaran ,negativo
viva morena,negativo
se te extiende la invitacion al programa que se trasmite en 4 plataformaspolitica a calzon quitao bandido tv la ruta del poder y tintero politicoatt bandido ver mas,positivo
asi sera vien dicho y todos es peramos el camvio berdadero que claudia delgadillo y la doctora claudia estan lo grandon yo de creto que asisera y ellas governaran,negativo
todos con la elegancia hecha mujer nuestra proxima gobernadora,positivo
claudia delgadillo gobernadora,negativo
al millon claudia shaibaum presidenta,positivo
y eso  que ,negativo
vamos por las dos claudias ,negativo
morena,negativo
arriva mis dos claudias,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
con dios todo es posiblebendiciones,positivo
claudia gobernadora arriba morena carcel a pablo lemus,negativo
fuera  morena de jalisco era prillista,negativo
mi candidata bonita y respetable,negativo
viva morena viva amlo viva la 4 t viva claudia delgadillo viva morena jalisco es morena,positivo
vamos por las 2 claudia,negativo
vamos con todo con morena,negativo
son tal para cual vamos con pablo lemus,negativo
ya viene por su casa azul tambien   pura rabadera salieron peor que los otrosen un partido emgana boboslos acarreados se dan con 500 pesos mientras ellas se despachal con la cuchara grande todo el dinero del pueblo,negativo
claudia sera gobernadora de jalisco,negativo
claro q si apoyemos juntos x morena,negativo
todo jalisco con morena,negativo
la apoyo la apoyo,positivo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
claudia delgadillo proxima gobernadora de jalisco,negativo
alfonso ruiz luce jajajaja,negativo
juan ibarra asi te quiero ver el 2 de junio,negativo
alfonso ruiz luce a mi me vale quien gane todos son corruptos y shimbaum no se salva a la otra mi la conozco,negativo
vamos claudias,negativo
claudiasheinbaumpresidenta2024 claudiadelgadillogobernadora la apoyo,positivo
todos unidos mexicanos con morena y la 4 t plan c todos unidos,positivo
excelente claudia sera la ganadora,positivo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
 jaliscienses es tiempo de que llegue la 4 transformacion a jalisco  todos unidos votaremos a nivel estatal por claudia delgadillo  futura gobernadora de jalisco ,positivo
veo a muchos y muchas mandando vivas a morenano les va a alcanzarestado fallido,positivo
dios la cuide bonito dia jalisco con usted,positivo
usted nos representa es la voz del pueblo que le brindan respaldo  lider lo hara muy bien,negativo
vamos con todo,negativo
yo con todo  vamos unidos podemos,positivo
mi admiracion respeto y carino,positivo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
la mejor opcion esclaudia  apoyo total,positivo
excelente claudia es la mejor,positivo
nosotros estamos con morena claudia delgadillo gobernadora,negativo
un orgullo estar con claudia delgadillo,positivo
todo mi apoyo para las claudia autlan vamos por la 4t,positivo
todo nuestro apoyo claudia delgadillo todo jalisco y la huerta estamos con usted vamos por la 4t,positivo
vamos por el plan c todos ganaremos arriba morena,negativo
centellita de oro  podrias decirme en que conciste el plan c y la transformacion,negativo
viva claudia delgadillo como la primera gobernadora jalisco,negativo
habla muy bien de usted y nos demuestra que tiene palabra y fe,positivo
y el pueblo tapatio unido por la 4t con claudia vamos a votar  por un cambio de gobierno,positivo
mucho exito la apoyaremos con todo,negativo
todo ameca con las claudias viva la 4t,negativo
claudia claudia claudia claudia claudia claudia claudia claudia claudia claudia claudia,positivo
claudia vamos a ganar y todo mi apoyo claudia  viva morena viva 4tvamos a ganar vamos aganar,positivo
todo bien gracias vamos claudia,positivo
amor con amor se paga ,negativo
todo nuestro apoyo para las claudias viva morenaa ,positivo
claudia yo kisiets k bajaras a60 ymas soy diavetico e inpertenso y cuydador d mi esposa tiene cancer y me las miro duras grasias vamos x la 4t animo,positivo
felicidades a las dos vamos por el  plan c todo pir morena,negativo
pero paguenles bien ha sus achichincles porq nunca tienen dinero ni para la renta aumentanles el sueldo y ponganlesvquien les cuide ha sus hijosbpirq los desatienden mucho,negativo
morena sera capaz de cambiar todo lo mal que hemos estado estos ultimos anos,positivo
cuidado mi claudia delgadillo hoy me encontre con una gran sorpresa en el fondo de una chatarrera estaban muchos cientos de propaganda tuya creo que alguien no esta haciendo bien su trabajo y no se vale porque todavia les pagan  cuidado,positivo
yasevan  fuera lemus fuera lemus fuera lemus por el bien de jalisco claudiadelgadillogobernadora,negativo
soy fann de tu trabajo claudia eres admirable,positivo
seguimos firmes apoyando por la transformacion de la 4t,positivo
las dos claudias,negativo
vamos a ganar este 2 de junio vamos con morena,negativo
me encanta su union esta a otro nivel,positivo
con todo el apoyo de los jovenes de morena tonala,positivo
excelente  trabajo sch vamos por el triunfo,positivo
lo bueno de mc es que ya se van y tendremos la primera gobernadora claudia delgadillo arriba la 4ta transformacion,negativo
que bueno que este enterada de esto el ser servidor publico juega un papel importante dependiendo el partido que este en turno y esta vez no es la ocasion es verdad que los estan obligando me consta porque tengo familiares amigas que los tienen hasta ver mas,negativo
gracias gobernadora,positivo
palabra de mujer y claudia delgadillo si cumple las cabezas de los naranjas ya se van alfaro lemus y otros muchos mas de primer nivelsolo van a quedar los buenos los que si trabajan por jalisco,negativo
vamos por la transformacion en jalisco,negativo
asi es mi claudia,negativo
vamos claudia mi familia esta contigo,negativo
el voto es secreto  pueden cuidar su trabajo y votar por un cambio verdadero,positivo
la liclulu barrera y su equipo de trabajo y sus seguidores estan con udlicclaudia delgadillo juntas condusecen el tren de la cuarta transfomacion para reformar jalisco y tlajomulco viva la 4ty morena,negativo
lamentablemente es la realidad con los gobiernos naranjas,positivo
estos infelices naranjas del mc y me refiero a los de alto nivel esos que someten a la mayoria de trabajadores del gobierno ellos que si desquitan su sueldo trabajando y aun asi  sus jefes les descuentan una parte de su sueldo y se lo reparten  empeza ver mas,negativo
en cada rincon de nuestro estado la apoyamos,positivo
asi es estan amenazados por sus actitudes lo he reconocido en varios sectores pueblo bueno al ir a votar aganlo en cilicio y diganse tengan su voto y a votar por la verdades trasformacion,positivo
buenas tardes gobernadora pensionados del estado estamos con ud a hecharle ganas en este segundo debate,positivo
voto masivo a morena plan c,negativo
gracias claudia que bueno que ya estes enterada de la situacion hay quienes si apoyan y habemos quienes no pero independientemente de nuestra afinan politica cultural social y etc  como servidores publicos pedimos respeto de todos los jugadores ver mas,positivo
sin miedo al exito  mi proxima  gobernadora  su servidor y mi familia  con usted estamos con todo saludos,positivo
tambien compran votos,negativo
pablo alfaro a caray como es eso lic  que no es pablo lemus en fin  si me gustaria escuchar sus propuestas que aportaria usted a esta metropoli esta hermosa ciudad tan descuidada  me gustaria imaginar que entre tantos gobernantes candidatos a u ver mas,negativo
el voto sera para la candidata de morena claudia delgadillo,positivo
por lo menos en la dependencia donde trabajo ni obligan ni amenazan a nadie,negativo
claudia hace bien licenciada en tranquilizar a quienes hoy tienen su trabajo en el gobierno porque la necesidad de trabajar es mucha y no hay forma mas digna de llevar el pan a la mesa que trabajando obviamente quienes llegaron a robar no van a querer ver mas,negativo
la apoyo con claudia delgadillo y daniel garcia,positivo
ojala por q ya estan dando de baja alas personas q no apoyan,negativo
ni con esos juegos sucios van a poder estiempodemujeres  no olvideis todas las comunidades que es jalisco,negativo
y que hay de los sindicalizados que no te quieren  jajaja   soy ciudadana y a mi como a muchos no nos obligaron fuimos por que somos libres y queremos que siga este proyecto,negativo
claudia delgadillo efectivamente algo asi nos paso en nuestra empresa y gracias por avisar de que no es obligacion de andar apoyandolos a los naranjas podridas sete agradece por el aviso,negativo
salvemos nuestro jalisco votemos morena y por nuestra candidata,negativo
es tiempo de morena,negativo
tambien usted no se quedan atras que quieren quitar todos los apoyos municipales,negativo
animo prima vamos con todo sabes que quieren opacar tu campana vamos adelante tienes el apoyo de la gente bonita de muchas dependencias,positivo
no se vale llorar morena lo esta haciendo con los programas sociales amenazando a los beneficiarios les gusta hacer y no les gusta que lo hagan,negativo
haber vamos a ver el crimen organizado por llamarlo de una manera siempre a existido pero en mexico crecio en los ultimos 36 anos sobre todo en el periodo de felipe calderon y  es algo dificil de erradicar y menos en un sexenio pero se trabaja dia ver mas,negativo
muy correcto a todos los de confianza de lod opd del estado y a los eventuales de los ayuntamientos y si estos tienen que estar fuera lic los gonzalez de  yahualica  con todo a favor de claudia delgadillo,positivo
consejo de ciudadano k no olvida jamas le dare un voto mas a un partido que no me cumplio sus promesas de campana recuerdo bien k vote x partido movimiento ciudadano x que nos prometio k no subiria el transporte  publico ellos criticaron el aumento d ver mas,positivo
muy bien dicho candidata jalisciense esta con usted la proxima gobernadora,negativo
mucho exito la apoyaremos con todo,negativo
prometer prometer hasta el voto obtener y despues de obtenido olvidar lo prometidoextorsiones a los casinos ver mas,positivo
aparte arrancando la lonas de pt y morena,negativo
apoyo de toda la tropa para morena futura gobernadora de jalisco claudia delgadillo,positivo
ya hicieron reuniones extra oficiales en distintas dependencias y les amenazaron si se va mc se van ellos tambien y los manejan por grupo de whatsapp para mi no pueden encontrar empatia ni respeto entre los burocratas mediante amenazas que ya se vayan,positivo
gobernadora le encargamos por favor la revision de los organos internos de control los utilizan para hacer sus fechorias contra trabajadores de base  ojo estan violentando a trabajadores y trabajadoras haber que dia le podemos visitar en su casa  ver mas,negativo
ni quien se los crea a mc naturalmente nadie queremos mas naranjas podridas rechazados socialmente y demostrablemente para empezar con la verificacion vehicular y el carrusel entre otros en contra de los bolsillos de los jalisciensesencuestas pagada ver mas,negativo
analisis estrategico de informacion y seguimiento katharsisrumbo al 2 de junio 2024 ver mas,positivo
das pena morena haciendo encuestas falsas y cizana por todos lados ,negativo
un saludoen mc esta lleno de delincuentes al ganar la gubernatura no se negocie en lo absoluto con ellos deben de demandar penalmente a todos los que hayan abusado de su cargo publico si se quiere transformar al estado de jalisco,positivo
mc autoritario y represores quieren atoda costa ganar para segir robando y hundiendo mas a jalisco y ala gente con tantos abusos ahora si prometen cuando nunca nada bueno anecho fuera fuera mc,negativo
que se puede esperar de los mafiosos del pan naranja,positivo
con morena nos ira mejor claudia es la mera mera,negativo
a mi me amenazaron por hacer una publicacion en la pagina de lemus,negativo
claudia estamos contigo  ya faltan unos dias para que tu  y tu  tocaya  nos traigan el futuro que estamos esperando lo que si me da mucho miedo de pensar que los  naranjas intenten hacer sus obras sucias para robarte los votos por favor  tiene que ten ver mas,positivo
tu echale ganas mi futura gober saludos,positivo
vamos por un mejor lugar,negativo
gracias por tan grandes palabras,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
inclusion latransformacion megaalinza la apoyo danielgarciacoordinadordetemaseducativos claudiadelgadillogobernadora claudiasheinbaumpresidenta2024,positivo
la apoyo,positivo
deseo que tengas mucho exito en tus proyectos,positivo
la apoyo,positivo
cada vez que claudia toma la palabra es para hablar de progreso y bienestar para todos,negativo
claudia es ejemplo de compromiso y trabajo duro constantemente busca maneras de mejorar la vida en nuestra comunidad,negativo
que honor contar con tu compromiso y determinacion claudia juntos lograremos el cambioverdadero que nuestra comunidad necesita adelante,positivo
seguiremos trabajando incansablemente para hacer del cambioverdadero una realidad para todos vamos por mas,negativo
lo compartimos con mucho gusto saludos,positivo
excelente trabajo dra claudia y diputada claudia delgadillo mexico entero estara tenido de guinda arriba la 4t y plan cfelicidades para ambas un abrazo grande,positivo
yo con todo  vamos unidos podemos,positivo
siempre juntos siempre morena,negativo
claudia delgadillo candidata a gobernadora,negativo
mi voto seguro ya esta para claudia,negativo
claudias cuando vienen a  tesistan,negativo
mujer de territorio no de escritorio asi la queremos ver siempre saludos desde puerto vallarta mi gober hermosa,positivo
una mujer sera gobernadora esclaudia,negativo
un cambio historico prima venga vamos por ese triunfo,positivo
mi voto a morena,negativo
vamos por  la gobernatura y la presidencia,positivo
totalmente de acuerdo las claudias gobernaran mexico y jalisco,positivo
la mejor opcion esclaudia  apoyo total,positivo
saludos y bendiciones,positivo
zapopan con usted,negativo
al  con la delgadillo shula mujer capaz e inteligente,positivo
gracias doctora claudia sheimbau saludos cordiales,positivo
saludos desde el pipon en el mero tepa todos somos claudia y aqui la respaldamos,positivo
claudia mucho exito y bendiciones en tu recorrido sumando y fortaleciendo la 4t el cambio a llegado por fin y por los bellos caminos de nuestro querido estado  no somos uno ni somos dos la union hace la fuerza saludos y vamos a ganar,positivo
con todo mi clau mujer de palabra estamos con usted saludos desde zapotlanejo aqui sabemos que usted es la verdadera respuesta,positivo
con morena nos ira mejor esta mas que claro,negativo
la unidad entre las claudias es inspiradora vamos por un cambio positivo,positivo
felicidadesclaudia delgadillo elegante preparada con clase que mas queremos los jaliscienses saludos y aqui tiene respaldo y solidaridad en su proyecto,positivo
estamos con usted claudia  y la cuarta transformacion,negativo
voto masivo a morena  plan c ,negativo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
tenemos fe en usted,positivo
con todo el poder del pueblo mi candidata,negativo
saludos arriba la cuarta transformacion,positivo
felicidades mi claudia delgadillo mujer hermosa y con mucha capacidadviva mexico,positivo
resalta el liderazgo de la mujer tapatia es usted la mas preparada del momento por eso sera nuestra proxima gobernadora,positivo
la union hace la fuerza vamos por la victoria en las urnas,positivo
votaporelcambio  la apoyo respaldo total desde arandas,positivo
muy bien  claudia el pueblo tapatio la quiere en la gobernatura  para este 2024 arriba la cuarta transformacion del actual gobierno del presidente lic andres manuel lopez obrador estamos con usted,negativo
apoyo total para el mejor presidente que a tenido mexico andres manuel lopez obrador  voto masivo por morena y claudia delgadillo la historia esta escrita,positivo
vamos con todo,negativo
la coordinacion entre las claudias es esperanzadora vamos por la victoria en las elecciones,positivo
juntas las claudias marcaran la diferencia por un jalisco mas seguro,positivo
arriba claudia arriba la 4t,negativo
unidad conclaudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
claudia contigo vamos ala cuarta transformacion ,negativo
en cada rincon de nuestro estado la apoyamos,positivo
la colaboracion entre las claudias es el camino hacia la paz y seguridad en jalisco adelante,positivo
mi voto x claudia x 2,positivo
analisis estrategico de informacion y seguimiento katharsisrumbo al 2 de junio 2024 ver mas,positivo
gracias por unir esfuerzos juntas las claudias haran historia,positivo
gracias por trabajar juntas por un jalisco mejor vamos por la gubernatura y la presidencia,positivo
la coordinacion entre las claudias traera paz y seguridad a jalisco vamos por la victoria,positivo
estamos contigo,negativo
planc  4 t,negativo
este 24 voto masivo por morena y su 4t fuera movimiento ciudadano,negativo
viva claudia viva morena en jalisco queremos un cambio,positivo
seguridad punto numero 1 y arriba la 4t aversi las mujeres tienen mas puestos los pantalones aversi se acaba esta corrupcion y impunidad,negativo
estiemppdemujeres,negativo
no me digas que con aristoteles  aprendiste todas esas cualidades que dices tener,negativo
el primero qe a agarrar es a  amlo,negativo
k asco seguir con naranja es seguir con alfaro va a la misma historia vamos a ser el cambio con claudia delgadillo para que siga la 4t para que instalen immsbienestar y para un jalisco prospero para las generaciones,negativo
voto masivo a morena claudias plan c ,negativo
tequila somos tu gente vamos contigo claudia delgadillo por morena,negativo
con todo proxima gobernadora de jalisco asi se habla,negativo
mentiras,negativo
esa es la actitud que queremos ver,negativo
ni loco voto por ti,negativo
animo ustedes pueden  hacer un cambio verdadero no mas cumplan sus promesas de campana  arriba morena,positivo
por fin alguien que se preocupa por nuestro estado,negativo
claro que si andamos trabajando al 100 vamos gobernadora viva la 4t todo el apoyo desde ameca jalisco viva amlo,positivo
priista de hueso colorado no te creo hay que votar por los candidatos no por el partido,negativo
vamos gobernadora,negativo
tenemos que votar por morena por el estado y nuestro compromiso debe de con nuestro municipio yo soy de del municipio de ameca y naci en ameca en el ano de 1950 y a los16 anos de edad tuve que habandonar nuestro municipio por falta de empleo y tuve que ver mas,negativo
cuanta falsedad hasta ase unos anos odiabas amlo y adorabas a pena nieto y a alito y ahora resulta que eres de morena,negativo
ni loco qe se voy a votar por usted,negativo
lemus no tiene competencia,negativo
claudia gobernadora,negativo
vamos con claudia la apoyo con claudia delgadillo y daniel garcia,positivo
claudia vamos a ganar vamos por la 4t,negativo
mas mentiras y fraudes de la secta de morena asi dice claudia la pena que admiro a pena nieto,negativo
la apoyo,positivo
vamos todosclaudia delgadillo gobernadora de jaliscoplanccc,negativo
adios corrupcion bienvenida la integridad,negativo
yo apoyo a morena pero tu eres prista creo que es un error estar como candidata de morena ahi es donde se empieza a perder la confianza,positivo
lastima que no ganaras en jalisco,negativo
vamos gobernadora a sacar al huachicolero lemus de jalisco,negativo
claudia delgadillo sigue trabajando por la 4 transformacion  los naranjas  ya se van de jalisco,negativo
fuera pablo lemus navarro fuera lemus fuera lemus no mas movimiento ciudadano  yasevanjalisco merece estar mejorclaudiadelgadillogobernadora,positivo
plsn x xochitl xochitl,positivo
soy morenita  pero ustedes estan muy tibios y asi nadie le creera,negativo
